,Name,neighborImmigrant,childrenHardWork,childrenFaith,neighborReligion,HomosexJustify,EnvImp,fightCountry,trust,SuicideJus,religiousPerson,NationProud,universityManImp,divorceJus,BetterLeader,childrenImagination,neighborRace,childrenThrift,Code,Continent,Longitude,Latitude,Mortality,CO2-avg,CO2-total,Life-length,Fertility,GDP,Population
0,Albania,10.2,56.7,29.9,25.0,1.78,38.9,56.4,24.3,2.11,43.4,138.4,36.2,5.88,82.1,10.7,7.8,67.0,AL,EU,20.0,41.0,27.5,0.971341941327866,2984.666667,74.2,2.47,4912.0,3072725.0
1,Azerbaijan,19.9,77.1,18.6,,1.41,44.3,91.4,19.4,1.87,83.7,156.5,51.3,4.25,98.4,13.8,12.2,59.3,AZ,AS,47.5,40.5,79.3,3.5543257101271,28574.33333,65.9,2.11,4047.0,8039312.0
2,Argentina,5.7,55.5,34.7,,4.45,42.4,58.1,17.1,2.16,79.2,136.8,21.7,5.88,38.8,25.8,4.6,15.9,AR,SA,-64.0,-34.0,20.8,3.98114130830853,145475.0,73.9,2.54,11722.0,36541029.0
3,Australia,4.6,35.9,21.4,,4.6,60.5,68.9,39.4,3.05,57.8,162.7,12.3,5.91,26.1,26.4,4.8,18.9,AU,OC,135.0,-25.0,6.4,17.178355898901803,325493.6667,79.4,1.76,34346.0,18947894.0
4,Bangladesh,29.5,8.1,77.7,12.7,,39.1,78.8,20.5,1.04,81.3,174.6,56.7,1.8,71.6,14.2,17.3,51.5,BD,AS,90.0,24.0,92.8,0.19835735989325304,25230.33333,64.6,3.23,1579.0,127214841.0
5,Armenia,21.6,83.6,12.4,,2.03,38.1,68.8,23.5,2.29,66.6,122.7,54.3,4.89,113.7,15.7,19.2,38.2,AM,AS,45.0,40.0,31.6,0.9894442028535341,3058.0,70.8,1.4,2740.0,3090624.0
6,Bulgaria,15.6,92.0,16.1,16.7,3.34,30.9,55.0,23.7,2.19,47.9,122.1,22.2,5.73,74.2,7.5,17.3,43.5,BG,EU,25.0,43.0,22.0,5.45156520216025,43978.0,71.4,1.18,8516.0,8067041.0
7,Belarus,6.3,84.0,15.0,,2.17,49.3,73.9,23.0,2.18,58.7,103.7,54.9,5.25,95.0,8.5,5.0,53.5,BY,EU,28.0,53.0,15.8,5.522028256590789,55814.0,67.7,1.25,6879.0,10107518.0
8,Chile,11.7,16.8,45.6,,3.32,53.8,69.3,21.4,2.0,72.6,141.2,30.8,4.4,52.8,24.3,12.0,30.5,CL,SA,-71.0,-30.0,11.5,3.9968117945307005,60877.666670000006,76.9,2.14,14159.0,15231557.0
9,China,20.3,72.7,3.3,,1.36,51.3,89.3,50.4,2.89,,125.4,27.1,5.37,60.6,22.1,22.9,62.2,CN,AS,105.0,35.0,39.3,2.6342315689436804,3317754.0,69.6,1.45,3419.0,1259476966.0
10,Taiwan,27.3,41.7,8.6,,2.06,60.4,73.1,36.9,2.25,72.2,80.2,27.2,3.9,53.7,15.1,17.1,49.1,TW,AS,121.0,23.5,,9.34293590209621,205619.3333,75.3,1.56,32852.0,22008000.0
11,Croatia,6.8,63.7,19.1,14.3,4.05,52.9,66.6,22.8,3.49,68.8,123.6,33.9,6.59,73.4,16.7,8.4,28.6,HR,EU,15.5,45.17,8.6,4.513027265680219,20489.33333,73.8,1.47,14652.0,4540042.0
12,Czech Rep.,28.1,78.9,8.9,,6.86,48.9,43.9,27.2,4.41,41.3,116.5,42.5,6.76,61.7,5.1,10.5,44.1,,,,,,,,,,,
13,Dominican Rep.,17.5,49.6,59.2,,3.26,66.4,70.3,25.2,1.85,74.3,163.7,23.1,5.13,50.6,12.5,18.5,11.3,,,,,,,,,,,
14,Estonia,19.0,87.1,5.0,23.0,2.38,41.3,61.3,21.1,2.24,33.7,69.1,44.9,5.96,93.5,8.6,7.5,30.4,EE,EU,26.0,59.0,11.9,11.077358168799801,15473.333330000001,70.2,1.31,13723.0,1379962.0
15,Finland,13.3,14.7,11.2,,4.52,40.9,78.0,47.9,3.11,54.0,136.0,18.4,6.52,27.7,23.5,12.2,29.2,FI,EU,26.0,64.0,4.4,10.735771731665801,55418.0,77.5,1.73,32743.0,5161995.0
16,Georgia,10.9,81.9,31.0,26.5,1.56,56.6,65.1,17.7,1.61,85.8,157.0,46.5,4.26,120.9,10.3,9.5,31.9,GE,AS,43.5,42.0,37.8,0.904240042954003,4345.0,71.4,1.64,3185.0,4805140.0
17,Germany,7.2,9.9,11.6,12.5,6.52,37.7,42.9,32.1,4.64,45.3,60.7,12.9,6.89,17.6,33.5,2.8,52.8,DE,EU,10.5,51.5,5.5,9.9874937574546,824398.6667,77.8,1.35,35931.0,82341545.0
18,Hungary,24.9,33.7,17.5,,3.52,30.2,61.8,22.5,2.62,54.0,138.1,28.8,6.28,75.1,12.8,18.6,41.7,HU,EU,20.0,47.0,11.7,5.895722575468709,60360.666670000006,71.3,1.33,16943.0,10237422.0
19,India,33.1,71.6,36.0,,1.74,20.6,81.5,32.8,1.82,72.4,157.3,37.6,3.05,54.6,10.8,36.0,41.9,IN,AS,77.0,20.0,94.8,1.10424744630776,1144286.0,61.2,3.21,2496.0,1036258683.0
20,South Korea,38.5,62.2,16.6,,2.13,60.9,81.6,30.3,2.83,,,47.6,4.13,78.3,7.8,,66.3,KR,AS,127.5,37.0,5.7,,399809.6667,75.8,1.41,19233.0,
21,Latvia,18.2,86.4,13.9,24.8,2.88,40.3,54.5,23.9,3.13,60.4,69.2,33.0,6.33,81.9,9.5,4.5,41.3,LV,EU,25.0,57.0,18.6,2.84181883065024,6827.333333,70.0,1.17,10208.0,2402452.0
22,Lithuania,29.3,88.5,22.5,,1.95,27.0,51.0,21.3,2.07,78.2,83.3,26.2,4.39,65.4,7.1,14.0,39.2,LT,EU,24.0,56.0,12.3,3.8854638585832704,13691.333330000001,71.8,1.38,12002.0,3523732.0
23,Mexico,27.1,33.1,43.6,,2.87,49.7,58.9,26.4,1.94,63.0,162.4,36.5,4.4,52.3,27.7,26.7,46.2,MX,NAA,-102.0,23.0,27.3,3.8757422107188,381813.6667,74.1,2.71,14177.0,98513690.0
24,Moldova,13.2,87.3,28.0,16.2,1.91,55.5,72.0,21.8,1.63,79.8,109.7,38.9,4.11,86.8,12.9,7.7,41.7,MD,EU,29.0,47.0,34.3,1.08052788442671,4502.666667,68.4,1.61,2276.0,4167099.0
25,New Zealand,5.4,37.1,15.7,,4.74,41.1,47.1,47.5,2.86,47.0,149.8,10.1,6.29,19.3,27.8,3.0,25.1,NZ,OC,174.0,-42.0,7.6,8.56978121307173,32736.0,78.2,2.0,27371.0,3817367.0
26,Nigeria,19.7,82.8,72.0,,1.58,32.0,55.2,16.4,1.6,92.1,146.9,57.4,2.55,114.7,6.1,20.4,9.8,NG,AF,8.0,10.0,192.0,0.37078185345468295,44784.66667,55.2,6.13,2761.0,120784408.0
27,Norway,9.8,10.7,11.7,,5.71,62.5,86.6,64.8,2.63,46.6,135.8,13.8,5.94,20.6,36.6,8.2,13.2,NO,EU,10.0,62.0,5.0,9.185420130130698,41019.0,78.5,1.85,57246.0,4465664.0
28,Peru,10.2,62.7,51.6,,3.39,39.9,85.1,4.9,1.87,77.2,173.7,36.3,4.55,34.6,18.6,11.6,19.1,PE,SA,-76.0,-10.0,41.8,1.15215749032347,29355.33333,73.9,2.99,6411.0,25478577.0
29,Philippines,19.8,57.8,62.7,,3.77,66.6,84.2,5.5,2.28,83.6,168.5,47.2,3.31,74.0,9.7,24.2,30.0,PH,AS,122.0,13.0,40.6,0.9138854336991858,65101.666670000006,69.2,3.85,4151.0,75669587.0
30,Poland,21.0,16.0,,,2.76,40.8,72.2,16.9,2.32,90.9,164.2,41.3,4.52,71.8,11.0,19.9,56.8,PL,EU,20.0,52.0,9.9,8.27170139199102,317104.3333,73.1,1.39,13824.0,38336047.0
31,Puerto Rico,12.7,30.4,72.4,,2.8,65.0,65.0,5.9,1.5,85.1,180.3,18.4,4.15,37.6,13.1,6.6,22.8,PR,NAA,-66.55,18.23,11.93,,,75.2,1.93,32088.0,3803374.0
32,Romania,32.8,63.6,57.9,30.4,2.27,41.6,70.5,17.9,1.87,78.9,125.3,51.0,5.29,104.9,39.5,29.7,60.6,RO,EU,25.0,46.0,28.1,4.0224796317979,89631.66667,70.6,1.28,9752.0,22282690.0
33,Russia,11.9,90.7,9.4,,1.78,44.6,68.9,23.2,2.11,58.8,98.0,44.4,5.26,72.5,5.9,8.3,55.0,,,,,,,,,,,
34,Slovakia,18.4,70.3,28.2,,5.26,43.4,52.4,25.8,3.8,75.0,125.0,50.2,5.96,88.0,4.6,13.5,44.5,SK,EU,19.5,48.67,,,,,,,
35,Slovenia,18.0,33.0,19.2,22.8,3.84,45.1,81.9,15.3,3.6,64.9,143.6,27.6,6.13,50.3,8.1,17.1,39.5,SI,EU,15.17,46.25,5.8,7.68336479386542,15216.666669999999,75.7,1.22,21655.0,1982378.0
36,South Africa,21.3,58.5,61.1,,2.6,24.5,59.5,17.6,2.05,78.0,177.4,23.4,3.7,71.0,10.6,11.2,28.7,ZA,AF,26.0,-30.0,72.1,8.405596029472429,371000.6667,57.9,2.9,9766.0,44137342.0
37,Spain,7.3,64.4,21.8,,5.46,50.4,50.3,28.7,2.74,67.5,153.7,20.0,6.07,27.9,21.7,8.3,19.0,ES,EU,-4.0,40.0,6.7,7.06800260632893,282359.0,78.8,1.21,29353.0,39948910.0
38,Sweden,4.7,6.6,4.8,,7.03,59.0,85.4,56.6,4.7,31.4,129.2,10.8,7.56,22.2,39.1,3.0,42.1,SE,EU,15.0,62.0,4.1,5.7726527396576,51102.33333,79.5,1.51,35208.0,8852487.0
39,Switzerland,10.0,39.6,20.5,,6.45,42.3,57.0,37.8,3.68,54.2,93.7,,6.39,,23.2,8.7,35.0,CH,EU,8.0,47.0,5.7,5.702370176485809,40696.33333,79.8,1.45,47486.0,7136740.0
40,Turkey,43.7,69.3,50.9,,,52.9,94.8,6.5,,65.4,174.8,51.2,,90.8,22.1,40.7,32.5,TR,AS,35.0,39.0,42.4,3.13832280769184,196749.6667,71.5,2.51,12381.0,62692616.0
41,Ukraine,12.5,83.3,20.4,17.5,2.01,44.9,59.4,28.8,2.03,58.0,83.5,42.0,4.93,73.3,11.2,8.6,48.9,UA,EU,32.0,49.0,19.2,6.7357753516147305,332519.0,67.7,1.16,4496.0,49366106.0
42,Macedonia,23.7,24.1,22.3,,1.68,44.9,69.2,7.5,1.51,53.7,122.5,17.4,4.57,61.1,12.1,26.4,44.4,MK,EU,22.0,41.83,16.9,5.85771647166486,11722.33333,72.6,1.73,8242.0,2001178.0
43,United Kingdom,11.5,37.8,16.7,,5.24,,,30.4,,,,,6.5,,,,28.2,GB,EU,-4.5,54.0,6.7,9.127136583535151,535502.0,77.5,1.69,31474.0,58671413.0
44,United States,9.7,52.5,53.9,,3.75,47.8,68.1,35.0,2.29,79.1,173.0,17.1,5.36,34.3,26.5,6.6,26.7,US,NAA,-98.0,38.0,8.6,19.8037524975084,5527646.667,76.9,2.01,44673.0,279300030.0
45,Uruguay,7.1,28.6,17.4,,3.95,53.7,48.1,21.6,2.36,52.5,164.5,15.1,6.26,43.5,30.9,6.8,26.6,UY,SA,-56.0,-33.0,17.5,2.03328606401817,6724.666667,74.3,2.27,13177.0,3307290.0
46,Venezuela,21.8,54.7,43.0,,1.96,40.6,78.1,13.3,1.7,84.1,190.6,28.5,4.86,58.1,12.9,20.0,45.2,VE,SA,-66.0,8.0,27.7,7.2259675487278,172601.0,70.2,2.87,14216.0,23886213.0
47,Serbia,23.9,67.9,13.2,,2.3,42.3,70.8,28.4,2.56,55.7,109.3,36.0,5.61,75.5,12.7,15.0,29.5,RS,EU,21.0,43.8,13.1,3.48269319035334,,71.0,1.68,7161.0,10184152.0
48,Montenegro,31.2,67.9,12.5,,2.0,38.3,76.7,30.4,2.91,46.2,112.1,33.3,5.22,83.7,17.1,16.7,25.4,ME,EU,19.2,42.8,14.3,2.47352061580946,,73.0,1.82,9506.0,635689.0
49,Bosnia,24.1,45.6,25.1,18.4,2.03,38.0,73.9,24.8,1.66,67.2,145.7,32.3,5.15,78.8,25.5,19.1,39.1,,,,,,,,,,,
50,Colombia,,18.0,42.3,,2.65,,,10.7,1.64,84.6,181.2,13.7,4.74,39.3,18.9,2.0,25.1,CO,SA,-72.0,4.0,26.0,1.4450937638425703,56507.0,73.2,2.68,8194.0,39102653.0
51,El Salvador,,38.4,67.0,10.8,2.03,79.2,61.8,14.1,1.33,69.3,179.8,20.0,3.83,48.5,10.4,,29.8,SV,NAA,-88.92,13.83,34.4,0.9639501588030909,5698.0,71.6,3.07,6165.0,5911094.0
52,Japan,,24.4,5.8,,3.47,31.2,17.2,39.8,2.57,21.8,85.3,37.0,5.72,50.6,25.9,,43.5,JP,AS,138.0,36.0,4.7,9.54287859539197,1197933.0,80.6,1.34,31535.0,125531619.0
53,Pakistan,,53.0,80.6,,,48.6,,20.4,,,184.0,72.4,,121.6,7.0,,60.1,PK,AS,70.0,30.0,114.9,0.710563785978428,100375.0,62.1,4.67,3303.0,141261069.0
